,released_year,released_month,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
221,2022,12,2,96,74,61,83,11,0,35,6
222,2022,12,1,149,66,85,60,40,0,14,13
223,2023,5,26,110,66,32,40,81,0,11,3
224,2022,11,30,105,95,62,52,3,0,5,16
225,2023,5,22,105,80,69,78,28,0,11,14
226,2023,5,26,134,76,61,58,6,0,16,3
227,2022,7,8,170,71,59,56,4,0,27,12
228,2023,6,2,81,59,26,60,46,1,25,13
229,2023,3,1,154,63,75,92,31,0,91,5
230,2022,6,29,169,69,69,51,63,0,38,4
231,2022,7,29,115,78,64,69,4,0,7,14
232,2023,6,5,84,43,14,74,1,0,19,8
233,2023,5,18,93,79,58,62,11,0,11,23
234,2023,4,21,91,82,47,62,10,0,10,15
235,2023,4,7,142,82,54,44,6,0,33,7
236,2023,5,19,126,78,20,70,1,0,16,4
237,2022,10,21,97,73,10,44,26,0,16,8
238,2023,6,2,101,92,59,51,41,51,26,8
239,2022,5,6,98,80,23,48,14,0,6,5
240,2023,1,27,154,59,63,89,18,0,80,9
241,2023,2,14,120,91,63,58,52,0,31,22
242,2022,10,17,150,49,4,55,7,0,6,3
243,2016,1,21,174,47,27,78,11,0,10,8
244,2021,9,1,202,34,25,51,69,0,18,4
245,2022,11,4,153,56,42,52,5,0,36,24
246,2021,10,14,142,60,13,37,58,0,13,3
247,2023,5,11,108,84,55,47,26,0,20,64
248,2023,6,2,143,83,25,69,4,0,23,12
249,2023,2,14,108,67,55,67,60,0,80,5
250,2000,1,1,104,95,78,66,3,0,4,6
251,2022,12,16,93,84,96,79,43,0,18,11
252,2021,12,10,105,65,46,53,16,0,9,5
253,2022,6,10,170,44,27,32,89,0,14,5
254,2023,5,4,178,62,56,66,18,0,12,5
255,2023,5,5,176,50,44,76,10,0,32,5
256,2023,5,1,104,80,38,88,11,0,11,5
257,2023,4,21,85,70,83,84,31,0,47,30
258,2023,4,30,117,77,69,58,39,0,26,5
259,2023,2,24,80,52,57,48,86,0,15,39
260,2023,4,7,98,44,36,41,50,0,38,5
261,2023,2,2,178,79,58,78,34,0,11,25
262,2022,4,8,148,51,27,33,48,0,22,3
263,2023,2,24,120,77,94,66,65,0,38,3
264,2023,4,10,122,68,38,88,1,0,8,5
265,1997,1,1,144,74,75,73,42,0,9,4
266,2023,3,4,96,93,47,47,33,0,10,36
267,2023,4,24,137,77,35,88,16,0,17,9
268,2022,4,22,121,94,71,61,12,0,53,42
269,2023,4,21,119,60,10,57,1,0,50,3
270,2019,8,23,96,72,40,47,71,0,13,4
271,2022,4,21,111,87,53,52,66,1,11,5
272,2023,4,14,148,90,74,68,14,0,10,19
273,2023,2,3,182,57,80,59,8,0,6,5
274,2021,9,9,141,79,82,86,28,0,4,9
275,2022,12,30,145,76,80,81,19,0,6,9
276,2023,4,25,110,76,26,70,1,0,41,6
277,2022,8,16,134,70,35,41,41,0,10,3
278,2022,7,28,130,92,78,62,18,0,6,10
279,2022,10,21,145,84,88,53,35,0,8,7
280,2023,2,5,130,69,36,90,1,10,15,4
281,2022,4,28,173,59,69,53,12,0,23,3
282,2022,11,4,92,75,55,76,25,0,10,15
283,2014,6,5,105,56,57,87,0,1,10,4
284,2021,11,25,175,59,15,64,43,90,12,10
285,2023,4,27,120,80,33,70,22,0,9,4
286,2022,12,24,139,70,77,48,37,0,12,5
287,2023,3,17,132,59,56,82,12,0,12,6
288,2018,3,29,114,32,17,74,14,0,17,3
289,2023,5,4,145,54,19,48,36,0,37,5
290,2022,9,16,110,82,67,69,0,0,18,4
291,2022,12,22,94,89,61,66,17,0,36,16
292,2018,3,29,134,45,17,60,21,0,33,4
293,2023,3,24,120,62,32,76,0,0,39,4
294,2023,2,2,123,70,86,68,24,0,11,4
295,2021,12,3,131,77,84,71,35,0,15,4
296,2002,1,1,171,70,6,73,1,0,36,26
297,2002,5,26,130,80,64,76,2,0,20,6
298,2023,3,2,94,82,53,67,34,0,9,8
299,2023,4,7,89,73,44,57,39,0,32,6
300,2023,3,17,87,65,71,56,4,0,15,20
301,2023,3,22,124,72,79,78,55,0,15,30
302,2023,3,27,78,71,80,65,51,0,22,32
303,2022,11,1,120,70,70,79,7,0,18,10
304,2023,3,31,96,48,50,80,40,0,37,20
305,2023,3,25,106,73,22,86,31,0,12,4
306,2021,12,24,170,78,75,46,62,0,12,35
307,2023,3,24,134,67,11,76,8,47,30,7
308,2022,5,20,115,71,90,73,30,0,11,5
309,2022,12,9,130,74,79,87,45,0,30,3
310,2020,3,20,118,65,63,79,3,0,10,3
311,2022,4,22,110,59,22,38,42,0,12,3
